Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Pet control accessory features (product.metafields.shopify.pet-control-accessory-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
candlestick-kneeling-punishment-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/4a7a9004c068615d2de5c30d0da635b5_cc09aa23-2620-4ed6-b738-65b6dfbdc11a.jpg?v=1755863698,3,"",,,,,,,,,,,,
candlestick-kneeling-punishment-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/2dfe463b8b6a0fe5a7e983509e5baea.jpg?v=1755863148,4,"",,,,,,,,,,,,
trojans-2,Trojans,"<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">Trojans 融合了大胆的设计与前卫的风格，是您探索冒险欲望的完美之选。其舒适性和操控性兼具，让您自信地拥抱激情与感官体验。这款惊艳的收藏之作，将提升您的游戏体验，让您的激情尽情释放。</span></span></p>
<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">产品编码：8845</span></span></p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Color,shopify--color-pattern-h9tm2ste,product.metafields.shopify.color-pattern,,,,,,,,10000.0,shopify,6,deny,manual,599.99,689.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/10_39a63ca5-cfb4-435f-9f31-1dc861ba2c6e.jpg?v=1755855925,1,"",false,,,,shopify--color-pattern-h9tm2ste,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01VK1IH520HRlRYKmPc__3923156824-0-cib.jpg?v=1755855925,kg,,,active
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01iRF5Vu20HRfDOgcIY__3923156824-0-cib.jpg?v=1755855925,2,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01FA9znr20HRlRYJAgA__3923156824-0-cib.jpg?v=1755855925,3,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/9_29d46d82-3067-44d8-be7c-309273d9ac77.jpg?v=1755855925,4,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01XoAkwW20HRlII7dJT__3923156824-0-cib.jpg?v=1755855925,5,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01VK1IH520HRlRYKmPc__3923156824-0-cib.jpg?v=1755855925,6,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/12.jpg?v=1755855455,7,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/13_3dc4cde7-0c67-4a86-8c27-412c402786c6.jpg?v=1755855454,8,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01rn8waz20HRlS2SnTp__3923156824-0-cib.jpg?v=1755855454,9,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01JC3v9t20HRlR0KtLM__3923156824-0-cib.jpg?v=1755855454,10,"",,,,,,,,,,,,
trojans-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01zt84Iv20HRfELpyF7__3923156824-0-cib.jpg?v=1755855454,11,"",,,,,,,,,,,,
trojans-1,Trojans,"<p>Elevate your playtime with Trojans, designed to ignite desire and enhance sensual exploration. Crafted for durability and comfort, these versatile tools add an exciting edge to your intimate moments, allowing you to confidently explore your deepest fantasies. Unlock new pleasures and embrace the thrill with Trojans.</p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Color,shopify--color-pattern-dgy1dvxa,product.metafields.shopify.color-pattern,,,,,,,,8000.0,shopify,4,deny,manual,399.99,489.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN010Avslt20HRfFMpSN4__3923156824-0-cib.jpg?v=1755840533,1,"",false,,,,shopify--color-pattern-dgy1dvxa,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN010Avslt20HRfFMpSN4__3923156824-0-cib.jpg?v=1755840533,kg,,,active
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/7e76543c3d37052d9eef9a111feb841.jpg?v=1755840533,2,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01ZCbAFx20HRf9vMj7r__3923156824-0-cib.jpg?v=1755840533,3,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01J0xMCi20HRf5KWh1P__3923156824-0-cib.jpg?v=1755840533,4,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Xn0twk20HRf5KaFNB__3923156824-0-cib.jpg?v=1755840533,5,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01t7Q3iH20HRfH82EhC__3923156824-0-cib.jpg?v=1755840533,6,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN015DTuE520HRfEJsf4c__3923156824-0-cib.jpg?v=1755840533,7,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN0193FF5Q20HRf5KYZOH__3923156824-0-cib.jpg?v=1755840533,8,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01w6jqso20HRfIyAkZV__3923156824-0-cib.jpg?v=1755840533,9,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01LL2ZMG20HRf5KYZMZ__3923156824-0-cib.jpg?v=1755840533,10,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01vAFbUF20HRfBWePxO__3923156824-0-cib.jpg?v=1755840533,11,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01w3UOUs20HRf5KY6Jj__3923156824-0-cib.jpg?v=1755840533,12,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/24.jpg?v=1755840534,13,"",,,,,,,,,,,,
trojans-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN014j2Xlf20HRfEJtKXk__3923156824-0-cib.jpg?v=1755840533,14,"",,,,,,,,,,,,
multifunctional-body-chair,Multifunctional body chair,"<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">这款多功能身体椅，带您体验极致的愉悦与多功能性。其符合人体工学的结构，旨在支撑并提升您最私密的时刻，可适应各种姿势，提升舒适度和刺激感。它以强度和稳定性为设计理念，邀您自信而时尚地探索您的欲望。对于寻求提升感官体验的人士来说，这款椅子是理想之选，可将任何空间变成您专属的激情游乐场。</span></span></p>
<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">商品编号：8871</span></span></p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Color,shopify--color-pattern-dgy1dvxa,product.metafields.shopify.color-pattern,,,,,,,,39000.0,shopify,4,deny,manual,2599.99,3299.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/1_bec52e79-581d-4302-bc01-2a6a2a3b1463.jpg?v=1755840035,1,"",false,,,,shopify--color-pattern-dgy1dvxa,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/1_bec52e79-581d-4302-bc01-2a6a2a3b1463.jpg?v=1755840035,kg,,,active
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01UwgVwG20HRc1yn3O6__3923156824-0-cib.jpg?v=1755840035,2,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01uwEVPz20HRc07pvRX__3923156824-0-cib.jpg?v=1755840035,3,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01AhppO720HRc7DbNTZ__3923156824-0-cib.jpg?v=1755840035,4,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/3_35ebcb7e-af0e-4c5c-a63a-e01058a1282a.jpg?v=1755840035,5,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN012Hry7q20HRc7DWsib__3923156824-0-cib.jpg?v=1755840035,6,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01ewK2Ek20HRc42mD72__3923156824-0-cib.jpg?v=1755840035,7,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01rzofsW20HRc07qWyS__3923156824-0-cib.jpg?v=1755840035,8,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01xjQBTK20HRc8lEUer__3923156824-0-cib.jpg?v=1755840035,9,"",,,,,,,,,,,,
multifunctional-body-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01dU6C4X20HRnwP93l0__3923156824-0-cib.jpg?v=1755840035,10,"",,,,,,,,,,,,
solid-wood-trojan,Solid wood Trojan,"<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">探索实木特洛伊的魅力，它以精湛工艺打造，以力量与优雅提升您的私密时刻。光滑自然的表面带来奢华质感，而坚固的木材则确保稳固自信的玩耍体验。这款产品专为耐用性和感官体验而设计，将原始力量与精致设计融为一体，唤醒您内心深处的渴望。对于那些追求大胆难忘体验的人来说，它堪称完美。</span></span></p>
<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">商品编号：8927</span></span></p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Color,brown,product.metafields.shopify.color-pattern,,,,,,,,45000.0,shopify,2,deny,manual,2569.99,3296.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01xKhRBi20HRoPCUBQf__3923156824-0-cib.jpg?v=1755833292,1,"",false,,,,brown,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01xKhRBi20HRoPCUBQf__3923156824-0-cib.jpg?v=1755833292,kg,,,active
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Os5pBP20HRoKpjlgO__3923156824-0-cib.jpg?v=1755833292,2,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01JZAlLs20HRoQjP4sP__3923156824-0-cib.jpg?v=1755833292,3,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01RsxhBc20HRoRxxUfV__3923156824-0-cib.jpg?v=1755833292,4,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Zvt6ZA20HRoRiE1iC__3923156824-0-cib.jpg?v=1755833292,5,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01y52ooB20HRoSkLg2C__3923156824-0-cib.jpg?v=1755833292,6,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01gMdLz920HRoRI0MRT__3923156824-0-cib.jpg?v=1755833291,7,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01yqudPL20HRoQjN8KE__3923156824-0-cib.jpg?v=1755833291,8,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01pkdetr20HRoQtv8wE__3923156824-0-cib.jpg?v=1755833291,9,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN0181x7Fq20HRoQx2tmC__3923156824-0-cib.jpg?v=1755833291,10,"",,,,,,,,,,,,
solid-wood-trojan,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Lsr0QH20HRoRiGVVF__3923156824-0-cib.jpg?v=1755833292,11,"",,,,,,,,,,,,
silicone-crystal-anal-plug,Silicone crystal anal plug,"<p>Elevate your intimate moments with this silicone crystal anal plug, designed for both comfort and allure. Its smooth, body-safe silicone ensures gentle, pleasurable wear, while the sparkling crystal base adds a touch of seductive elegance. Perfect for those seeking to explore sensations with style and confidence.</p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Accessory size,s,product.metafields.shopify.accessory-size,,,,,,,,102.0,shopify,8,deny,manual,19.99,25.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/4_67d95f53-1023-4237-adaa-26a69ef41ef6.jpg?v=1755783637,1,"",false,,,s; m; l,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/S.jpg?v=1755783637,g,,,active
silicone-crystal-anal-plug,,,,,,,,,m,,,,,,,,,102.0,shopify,5,deny,manual,19.99,25.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/9_df9b7cdf-bbb6-4a6f-bccc-cc16422272bf.jpg?v=1755783637,2,"",,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/M_a77788bb-1869-4e57-bc26-1b108bc1e087.jpg?v=1755783637,g,,,
silicone-crystal-anal-plug,,,,,,,,,l,,,,,,,,,102.0,shopify,7,deny,manual,19.99,25.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/0724473bb85fffc9322bc309807c3838.jpg?v=1755783637,3,"",,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/L_d13291f5-8430-4943-9115-906332c8cc2f.jpg?v=1755783637,g,,,
silicone-crystal-anal-plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/S.jpg?v=1755783637,4,"",,,,,,,,,,,,
silicone-crystal-anal-plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/M_a77788bb-1869-4e57-bc26-1b108bc1e087.jpg?v=1755783637,5,"",,,,,,,,,,,,
silicone-crystal-anal-plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/L_d13291f5-8430-4943-9115-906332c8cc2f.jpg?v=1755783637,6,"",,,,,,,,,,,,
silicone-crystal-anal-plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/8_b5ff921d-b84d-46fa-b809-01f92566bfda.jpg?v=1755783246,7,"",,,,,,,,,,,,
trojans,Trojans,"<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">Trojans 提升您的私密时刻——旨在点燃激情，确保安全，同时又不牺牲愉悦。这些感官必需品提供可靠的保护，同时提升您的体验，让您充满自信，尽显时尚。非常适合那些渴望刺激与私密兼顾的人士。</span></span></p>
<p>产品编号：</p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Color,beige,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,7,deny,manual,699.99,956.99,false,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01D6Mkqa20HRfFh1Yri__3923156824-0-cib.jpg?v=1755768657,1,"",false,,,,beige,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01D6Mkqa20HRfFh1Yri__3923156824-0-cib.jpg?v=1755768657,lb,,,active
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/b686842c4c6a7f338f96ea9044e4472.jpg?v=1755832907,2,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01AkGw5L20HRf7fiflr__3923156824-0-cib.jpg?v=1755832907,3,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01qPwZwE20HRfHg6L9a__3923156824-0-cib.jpg?v=1755832907,4,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01bjVjIz20HRfFgWU5g__3923156824-0-cib.jpg?v=1755832907,5,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN012Dc8uH20HRfFkjh0g__3923156824-0-cib.jpg?v=1755832907,6,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01NLvwCo20HRfDMXoNX__3923156824-0-cib.jpg?v=1755832907,7,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Z9vfnp20HRfHg7spj__3923156824-0-cib.jpg?v=1755832907,8,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN011L3bBn20HRfDro7IX__3923156824-0-cib.jpg?v=1755832907,9,"",,,,,,,,,,,,
trojans,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/Measure.jpg?v=1755832907,10,"",,,,,,,,,,,,
split-leg-restraint,Split leg restraint,"<p><span dir=""auto"" style=""vertical-align: inherit;""><span dir=""auto"" style=""vertical-align: inherit;"">体验极致的纵情释放，分腿束缚带专为提升您最私密的时刻而设计。它专为舒适性和控制性而设计，能安全地分开您的双腿，让您自由自在地活动，感受更强烈的快感。这款束缚带非常适合探索力量的动态，让您自信而时尚地沉浸于欲望之中。提升您的激情，探索更高层次的联结。</span></span></p>
<p>产品编号：8837</p>",Knot Knot,Mature > Erotic > Sex Toys & Erotic Games,"","",true,Color,shopify--color-pattern-dgy1dvxa,product.metafields.shopify.color-pattern,,,,,,,,1950.0,shopify,4,deny,manual,199.99,269.99,true,true,"",https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN013UI4lQ20HRfDrlMKP__3923156824-0-cib.jpg?v=1755768396,1,"",false,,,,shopify--color-pattern-dgy1dvxa,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN013UI4lQ20HRfDrlMKP__3923156824-0-cib.jpg?v=1755768396,kg,,,active
split-leg-restraint,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/6a3665595772fb947f60c67f0319543_1a8327cb-20cf-492f-96bc-38f7abf84cc5.jpg?v=1755777758,2,"",,,,,,,,,,,,
split-leg-restraint,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01OMz7G720HRfClBfbx__3923156824-0-cib.jpg?v=1755777758,3,"",,,,,,,,,,,,
split-leg-restraint,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN019lodr420HRf8AuLDh__3923156824-0-cib.jpg?v=1755777758,4,"",,,,,,,,,,,,
