Handle,Title,Body (HTML),SEO Title,SEO Description,Image Src,Image Alt Text
trojans-1,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01w3UOUs20HRf5KY6Jj__3923156824-0-cib.jpg?v=1755840533,Trojans Restraint Stand for versatile play
trojans-1,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/24.jpg?v=1755840534,Trojans Restraint Stand in action
trojans-1,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN014j2Xlf20HRfEJtKXk__3923156824-0-cib.jpg?v=1755840533,Trojans Restraint Stand with secure straps
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/1_bec52e79-581d-4302-bc01-2a6a2a3b1463.jpg?v=1755840035,Ergonomic bondage body chair with adjustable restraints
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01UwgVwG20HRc1yn3O6__3923156824-0-cib.jpg?v=1755840035,Side view of bondage chair with straps
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01uwEVPz20HRc07pvRX__3923156824-0-cib.jpg?v=1755840035,Close-up of bondage chair seat and restraints
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01AhppO720HRc7DbNTZ__3923156824-0-cib.jpg?v=1755840035,Bondage chair with adjustable backrest
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/3_35ebcb7e-af0e-4c5c-a63a-e01058a1282a.jpg?v=1755840035,Bondage chair with multiple attachment points
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN012Hry7q20HRc7DWsib__3923156824-0-cib.jpg?v=1755840035,Bondage chair on wheels for easy movement
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01ewK2Ek20HRc42mD72__3923156824-0-cib.jpg?v=1755840035,Detailed view of bondage chair's frame
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01rzofsW20HRc07qWyS__3923156824-0-cib.jpg?v=1755840035,Bondage chair with padded arm supports
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01xjQBTK20HRc8lEUer__3923156824-0-cib.jpg?v=1755840035,Bondage chair with adjustable leg supports
multifunctional-body-chair,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01dU6C4X20HRnwP93l0__3923156824-0-cib.jpg?v=1755840035,Full view of bondage chair setup
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01xKhRBi20HRoPCUBQf__3923156824-0-cib.jpg?v=1755833292,Solid Wood Trojan bondage furniture
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Os5pBP20HRoKpjlgO__3923156824-0-cib.jpg?v=1755833292,Side view of Solid Wood Trojan
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01JZAlLs20HRoQjP4sP__3923156824-0-cib.jpg?v=1755833292,Close-up of Solid Wood Trojan features
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01RsxhBc20HRoRxxUfV__3923156824-0-cib.jpg?v=1755833292,Solid Wood Trojan with straps
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Zvt6ZA20HRoRiE1iC__3923156824-0-cib.jpg?v=1755833292,Solid Wood Trojan in a play setting
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01y52ooB20HRoSkLg2C__3923156824-0-cib.jpg?v=1755833292,Solid Wood Trojan from the back
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01gMdLz920HRoRI0MRT__3923156824-0-cib.jpg?v=1755833291,Detail of Solid Wood Trojan padding
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01yqudPL20HRoQjN8KE__3923156824-0-cib.jpg?v=1755833291,Solid Wood Trojan with adjustable straps
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01pkdetr20HRoQtv8wE__3923156824-0-cib.jpg?v=1755833291,Solid Wood Trojan in use
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN0181x7Fq20HRoQx2tmC__3923156824-0-cib.jpg?v=1755833291,Solid Wood Trojan with padded arms
solid-wood-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Lsr0QH20HRoRiGVVF__3923156824-0-cib.jpg?v=1755833292,Solid Wood Trojan side profile
silicone-crystal-anal-plug,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/4_67d95f53-1023-4237-adaa-26a69ef41ef6.jpg?v=1755783637,Colorful silicone crystal anal plug
silicone-crystal-anal-plug,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/9_df9b7cdf-bbb6-4a6f-bccc-cc16422272bf.jpg?v=1755783637,Silicone anal plug with crystal base
silicone-crystal-anal-plug,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/0724473bb85fffc9322bc309807c3838.jpg?v=1755783637,Three sizes of silicone crystal anal plugs
silicone-crystal-anal-plug,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/S.jpg?v=1755783637,Small silicone crystal anal plug
silicone-crystal-anal-plug,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/M_a77788bb-1869-4e57-bc26-1b108bc1e087.jpg?v=1755783637,Medium silicone crystal anal plug
silicone-crystal-anal-plug,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/L_d13291f5-8430-4943-9115-906332c8cc2f.jpg?v=1755783637,Large silicone crystal anal plug
silicone-crystal-anal-plug,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/8_b5ff921d-b84d-46fa-b809-01f92566bfda.jpg?v=1755783246,Silicone crystal anal plugs in hand
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01D6Mkqa20HRfFh1Yri__3923156824-0-cib.jpg?v=1755768657,Knot Play Trojans bondage furniture
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/b686842c4c6a7f338f96ea9044e4472.jpg?v=1755832907,Knot Play Trojans in use
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01AkGw5L20HRf7fiflr__3923156824-0-cib.jpg?v=1755832907,Close-up of Knot Play Trojans
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01qPwZwE20HRfHg6L9a__3923156824-0-cib.jpg?v=1755832907,Knot Play Trojans detail
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01bjVjIz20HRfFgWU5g__3923156824-0-cib.jpg?v=1755832907,Knot Play Trojans structure
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN012Dc8uH20HRfFkjh0g__3923156824-0-cib.jpg?v=1755832907,Knot Play Trojans features
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01NLvwCo20HRfDMXoNX__3923156824-0-cib.jpg?v=1755832907,Knot Play Trojans assembly
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01Z9vfnp20HRfHg7spj__3923156824-0-cib.jpg?v=1755832907,Knot Play Trojans in action
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN011L3bBn20HRfDro7IX__3923156824-0-cib.jpg?v=1755832907,Knot Play Trojans overview
trojans,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/Measure.jpg?v=1755832907,Knot Play Trojans measurement
split-leg-restraint,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN013UI4lQ20HRfDrlMKP__3923156824-0-cib.jpg?v=1755768396,Split Leg Restraint designed for bondage play
split-leg-restraint,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/6a3665595772fb947f60c67f0319543_1a8327cb-20cf-492f-96bc-38f7abf84cc5.jpg?v=1755777758,Close-up of Split Leg Restraint in use
split-leg-restraint,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01OMz7G720HRfClBfbx__3923156824-0-cib.jpg?v=1755777758,Detailed view of Split Leg Restraint components
split-leg-restraint,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN019lodr420HRf8AuLDh__3923156824-0-cib.jpg?v=1755777758,Split Leg Restraint showcasing its design
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/6_b46cc373-4120-4612-aa18-627e7e20a6c8.jpg?v=1755768141,Triangle Trojan bondage furniture
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN011dpvmX20HRoQRejQI__3923156824-0-cib.jpg?v=1755768141,Triangle Trojan with model demonstration
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/5_168c0120-7deb-4305-9a5a-cb9f14b91b8b.jpg?v=1755768141,Close-up of Triangle Trojan design
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/8_e7d14b47-257a-4871-95ea-9a1e096af46d.jpg?v=1755768141,Triangle Trojan side view
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/7_493f8ee6-1abe-4077-9a44-5bb7a612c36b.jpg?v=1755768141,Triangle Trojan with restraints
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/1_d505b546-d1a2-4099-a1c1-cee9d4f3b521.jpg?v=1755768140,Triangle Trojan padded surface
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/2_b682a8f8-5ccd-41f6-8bf3-c21f07b7e1d5.jpg?v=1755768140,Triangle Trojan in use
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/4a7a9004c068615d2de5c30d0da635b5_7082c151-f0c7-49f7-ae02-9039cb48e9f9.jpg?v=1755768141,Triangle Trojan detailed view
triangle-trojan,,,,,https://cdn.shopify.com/s/files/1/0716/4844/4554/files/O1CN01y7Sysb20HRoQBqWTe__3923156824-0-cib.jpg?v=1755768141,Triangle Trojan with accessories
